date,rbd_p_ppm,acid_dosing_pct,bleaching_earth_dosing_pct,feed_ffa_pct,feed_mi_pct,feed_iv,feed_dobi,feed_car_pv,feed_p_ppm,log_feed_ffa_pct,log_feed_p_ppm,time_trend,missing_transition_phase,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,feed_tank_NT1/NT2,feed_tank_NT1/NT3,feed_tank_NT2,feed_tank_NT2/NT3,feed_tank_NT2/TK3,feed_tank_NT3,feed_tank_NT3/NT1,feed_tank_NT3/NT1/NT2,feed_tank_NT3/TK3,feed_tank_TK3,feed_tank_TK3/NT1,feed_tank_TK3/NT1/TK4,feed_tank_TK3/NT2,feed_tank_TK3/NT2/TK3,feed_tank_TK3/NT2/TK3/NT3,feed_tank_TK3/NT3,feed_tank_TK3/NT3/TK3,feed_tank_TK3/TK4,feed_tank_TK4,feed_tank_TK4/TK3,feed_tank_TK4/TK6,feed_type_CPO
2025-01-01,1.3,0.065,1.12,4.4,0.24750000000000003,52.0,2.13,442.0,28.5,1.6863989535702288,3.3843902633457743,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-01-02,1.3,0.065,1.12,4.4,0.24750000000000003,52.0,2.13,442.0,28.5,1.6863989535702288,3.3843902633457743,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-01-03,1.3,0.065,1.12,4.4,0.24750000000000003,52.0,2.13,442.0,28.5,1.6863989535702288,3.3843902633457743,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-01-04,1.3,0.065,1.12,3.92,0.24750000000000003,52.34,2.14,442.0,28.5,1.5933085305042167,3.3843902633457743,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-01-05,1.8,0.065,1.0,3.925,0.21,52.33,2.215,457.0,27.7,1.5943242746240522,3.3568971227655755,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-01-06,1.5,0.065,1.05,4.1850000000000005,0.215,52.015,2.25,442.0,32.6,1.6457698416814908,3.5145260669691587,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-01-07,2.1,0.065,1.2,4.234999999999999,0.235,52.175,2.29,455.0,30.7,1.6553668443225,3.456316680883235,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-01-08,2.0,0.065,1.2,4.265000000000001,0.205,52.195,2.275,463.0,31.7,1.661081145585939,3.4873750779032076,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-01-09,2.1,0.067,1.2,4.1850000000000005,0.2,52.11,2.23,448.0,28.6,1.6457698416814908,3.3877743613300146,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-01-10,2.4,0.065,1.2,4.245,0.205,52.215,2.26,459.0,27.1,1.6572752418482606,3.3357695763397,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-01-11,2.3,0.065,1.18,4.065,0.21,52.375,2.29,464.5,28.7,1.6223541377006467,3.391147045808654,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-01-12,2.6,0.065,1.2,4.035,0.2,52.14,2.25,451.5,29.3,1.6164135261705257,3.4111477125153233,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-01-13,2.9,0.065,1.1,3.835,0.215,52.14,2.285,461.0,29.1,1.5758811289052577,3.40452517175483,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2025-01-14,3.1,0.065,1.1,4.140000000000001,0.22,52.14333333333334,2.28,465.0,31.0,1.637053079467074,3.4657359027997265,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2025-01-15,3.2,0.065,1.24,4.39,0.2066666666666666,52.22666666666667,2.103333333333333,455.6666666666667,30.1,1.6845453849209058,3.4372078191851885,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
