feature,month,n,min,q1,median,q3,max,mean,std
feed_dobi,1,31,1.9525000000000001,2.14,2.225,2.2625,2.29,2.1924462365591393,0.0978892835194792
feed_dobi,2,28,1.9883333333333337,2.1483333333333334,2.216666666666667,2.255,2.37,2.18827380952381,0.09636872149234611
feed_dobi,3,31,2.1324999999999994,2.215,2.25,2.27,2.3525,2.2466129032258064,0.04934615800078534
feed_dobi,4,30,2.1399999999999997,2.228125,2.2525,2.2887500000000003,2.38,2.2507500000000005,0.05952813736319186
feed_dobi,5,31,2.1525000000000007,2.2425,2.28,2.3024999999999998,2.365,2.2689516129032263,0.0548891845507395
feed_dobi,6,30,2.085,2.1525,2.21,2.25,2.325,2.2045,0.06446530743019038
feed_dobi,7,31,2.065,2.1425,2.2249999999999996,2.2625,2.33,2.2081720430107525,0.07528262162198907
feed_dobi,8,31,2.2,2.258166666666667,2.268666666666667,2.2815000000000003,2.38,2.2732258064516127,0.03682324015525602
feed_dobi,10,31,2.134375,2.215,2.2350000000000003,2.2675,2.3493749999999998,2.2389717741935478,0.04944471565206917
feed_dobi,11,30,2.1425,2.22,2.2325,2.2787499999999996,2.315,2.2434999999999996,0.04209287760212626
feed_dobi,12,31,2.1866666666666674,2.251666666666667,2.275,2.295,2.3599999999999994,2.2719892473118275,0.036694861268148214
feed_ffa_pct,1,31,3.44,4.1625000000000005,4.39,4.7575,5.135,4.387311827956989,0.4263109796544707
feed_ffa_pct,2,28,4.2,4.692916666666667,4.9174999999999995,5.16625,5.4350000000000005,4.89625,0.30812275925945903
feed_ffa_pct,3,31,4.249999999999999,4.531666666666667,4.725,5.2875,5.785,4.938440860215054,0.4746269364388303
feed_ffa_pct,4,30,4.250000000000002,4.679375,4.8575,4.97375,5.18,4.778083333333334,0.2640742477662922
feed_ffa_pct,5,31,3.71,4.1075,4.265000000000001,4.387499999999999,4.72,4.237903225806452,0.2670417389146884
feed_ffa_pct,6,30,3.6406250000000004,3.9762500000000003,4.0825,4.2,4.525,4.103020833333334,0.17933321207146155
feed_ffa_pct,7,31,3.6012499999999985,4.0775,4.27,4.3950000000000005,4.753333333333333,4.251922043010753,0.25324438034008806
feed_ffa_pct,8,31,3.805,4.06,4.217,4.307,4.385,4.1688709677419356,0.17300245507612194
feed_ffa_pct,10,31,3.778124999999999,4.055,4.175000000000001,4.217499999999999,4.375,4.132197580645161,0.12393765979227218
feed_ffa_pct,11,30,3.8025,3.95125,4.0424999999999995,4.10375,4.3325,4.03775,0.11868777861727559
feed_ffa_pct,12,31,4.01,4.2425,4.327500000000001,4.4675,4.645,4.334892473118279,0.16960148577914827
feed_mi_pct,1,31,0.2,0.21,0.215,0.225,0.24750000000000003,0.21881720430107524,0.014198940677669625
feed_mi_pct,2,28,0.21,0.21124999999999994,0.22,0.2266666666666666,0.23,0.2195833333333333,0.007812422839125136
