date,acid_dosing_pct,bleaching_earth_dosing_pct,feed_tank,feed_ffa_pct,feed_mi_pct,feed_iv,feed_dobi,feed_car_pv,feed_p_ppm,feed_type,rbd_tank,rbd_ffa_pct,rbd_mi_pct,rbd_iv,rbd_pv,rbd_color,rbd_odor,rbd_p_ppm,rbd_type,sheet_name,month,time_trend,missing_transition_phase,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,log_feed_ffa_pct,log_feed_p_ppm,log_rbd_p_ppm
2025-01-01,0.065,1.12,TK3,4.4,0.24750000000000003,52.0,2.13,442.0,28.5,CPO,ST14,0.05243269230769239,0.0104999999999999,51.76520833333335,0.0,2.071428571428571,8.0,1.3,RBDPO,January 2025,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1.6863989535702288,3.3843902633457743,0.832909122935104
2025-01-02,0.065,1.12,TK3,4.4,0.24750000000000003,52.0,2.13,442.0,28.5,CPO,ST14,0.05243269230769239,0.0104999999999999,51.76520833333335,0.0,2.071428571428571,8.0,1.3,RBDPO,January 2025,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1.6863989535702288,3.3843902633457743,0.832909122935104
2025-01-03,0.065,1.12,TK3,4.4,0.24750000000000003,52.0,2.13,442.0,28.5,CPO,ST14,0.05243269230769239,0.0104999999999999,51.76520833333335,0.0,2.071428571428571,8.0,1.3,RBDPO,January 2025,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1.6863989535702288,3.3843902633457743,0.832909122935104
2025-01-04,0.065,1.12,TK3,3.92,0.24750000000000003,52.34,2.14,442.0,28.5,CPO,ST14,0.05243269230769239,0.0104999999999999,51.76520833333335,0.0,2.071428571428571,8.0,1.3,RBDPO,January 2025,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5933085305042167,3.3843902633457743,0.832909122935104
2025-01-05,0.065,1.0,TK3,3.925,0.21,52.33,2.215,457.0,27.7,CPO,ST14,0.0554999999999999,0.011,51.82,0.0186666666666666,2.0750000000000006,8.0,1.8,RBDPO,January 2025,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5943242746240522,3.3568971227655755,1.0296194171811583
2025-01-06,0.065,1.05,TK3,4.1850000000000005,0.215,52.015,2.25,442.0,32.6,CPO,ST14,0.057,0.012,51.895,0.0,2.1727272727272724,8.0,1.5,RBDPO,January 2025,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1.6457698416814908,3.5145260669691587,0.9162907318741551
2025-01-07,0.065,1.2,TK3,4.234999999999999,0.235,52.175,2.29,455.0,30.7,CPO,ST14/ST15,0.06025,0.0125,52.24666666666667,0.0,2.2583333333333333,8.0,2.1,RBDPO,January 2025,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,1.6553668443225,3.456316680883235,1.1314021114911006
2025-01-08,0.065,1.2,TK3,4.265000000000001,0.205,52.195,2.275,463.0,31.7,CPO,ST14,0.0615,0.012,52.08,0.0,2.2416666666666663,8.0,2.0,RBDPO,January 2025,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1.661081145585939,3.4873750779032076,1.0986122886681098
2025-01-09,0.067,1.2,TK3,4.1850000000000005,0.2,52.11,2.23,448.0,28.6,CPO,ST14,0.06025,0.012,52.225,0.0,2.15,8.0,2.1,RBDPO,January 2025,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,1.6457698416814908,3.3877743613300146,1.1314021114911006
2025-01-10,0.065,1.2,TK3,4.245,0.205,52.215,2.26,459.0,27.1,CPO,ST14,0.0670833333333333,0.012,52.125,0.0,2.2,8.0,2.4,RBDPO,January 2025,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1.6572752418482606,3.3357695763397,1.2237754316221157
2025-01-11,0.065,1.18,TK3,4.065,0.21,52.375,2.29,464.5,28.7,CPO,ST14,0.0665,0.012,52.065,0.0,2.233333333333333,8.0,2.3,RBDPO,January 2025,1,11,0,1,0,0,0,0,0,0,0,0,0,0,0,1.6223541377006467,3.391147045808654,1.1939224684724346
2025-01-12,0.065,1.2,TK3,4.035,0.2,52.14,2.25,451.5,29.3,CPO,ST14,0.0694166666666666,0.011,52.0,0.0,2.166666666666667,8.0,2.6,RBDPO,January 2025,1,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1.6164135261705257,3.4111477125153233,1.2809338454620642
2025-01-13,0.065,1.1,TK3,3.835,0.215,52.14,2.285,461.0,29.1,CPO,ST14,0.0620833333333333,0.0125,52.02,0.0,2.225,8.0,2.9,RBDPO,January 2025,1,13,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5758811289052577,3.40452517175483,1.3609765531356006
2025-01-14,0.065,1.1,TK3/NT2,4.140000000000001,0.22,52.14333333333334,2.28,465.0,31.0,CPO,ST14,0.0603333333333333,0.012,51.989999999999995,0.0,2.2916666666666665,8.0,3.1,RBDPO,January 2025,1,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1.637053079467074,3.4657359027997265,1.410986973710262
2025-01-15,0.065,1.24,NT2/TK3,4.39,0.2066666666666666,52.22666666666667,2.103333333333333,455.6666666666667,30.1,CPO,ST14,0.0623076923076922,0.012,52.035,0.0,2.3230769230769237,8.0,3.2,RBDPO,January 2025,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1.6845453849209058,3.4372078191851885,1.4350845252893227
